<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/NbAiLab/nb-gpt-j-6B-v2'>NbAiLab/nb-gpt-j-6B-v2</a>,🧠,-@@100,6050882784.0,50400.0,1024.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/NbAiLab/nb-roberta-base-ncc-plus-scandi-1e4'>NbAiLab/nb-roberta-base-ncc-plus-scandi-1e4</a>,🔍,-@@100,278295700.0,250002.0,514.0,✓,✗,(✓),✗,-@@100,1.59@@1.59,-@@100
<a href='https://hf.co/Qwen/Qwen1.5-14B'>Qwen/Qwen1.5-14B</a>,📝,-@@100,14167290880.0,152064.0,32768.0,✓,✗,(✓),✓,-@@100,3.07@@3.07,-@@100
<a href='https://hf.co/MaLA-LM/emma-500-llama2-7b'>MaLA-LM/emma-500-llama2-7b</a>,🧠,-@@100,6738415616.0,32000.0,4096.0,✓,✗,(✓),✗,-@@100,2.94@@2.94,-@@100
<a href='https://hf.co/Qwen/Qwen1.5-4B-Chat'>Qwen/Qwen1.5-4B-Chat</a>,📝,-@@100,3950369280.0,151936.0,32768.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct (zero-shot)</a>,📝,-@@100,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking (zero-shot)</a>,📝,-@@100,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking (val)</a>,📝,-@@100,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking (zero-shot, val)</a>",📝,-@@100,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B</a>,🤔,-@@100,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,1.74@@1.74,-@@100
"<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B (zero-shot, val)</a>",🤔,-@@100,32762123264.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking (zero-shot)</a>,📝,-@@100,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking (val)</a>,📝,-@@100,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking (zero-shot, val)</a>",📝,-@@100,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,-@@100,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,-@@100,2.20@@2.20,-@@100
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507 (zero-shot)</a>,🤔,-@@100,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,-@@100,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,1.79@@1.79,-@@100
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507 (val)</a>,🤔,-@@100,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,🤔,-@@100,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,2.12@@2.12,-@@100
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking (zero-shot)</a>,📝,-@@100,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking (val)</a>,📝,-@@100,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking (zero-shot, val)</a>",📝,-@@100,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,-@@100,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,1.98@@1.98,-@@100
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,-@@100,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,-@@100,1.62@@1.62,-@@100
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B</a>,📝,-@@100,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (zero-shot)</a>,📝,-@@100,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (zero-shot, val)</a>",📝,-@@100,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3.5-27B-FP8'>Qwen/Qwen3.5-27B-FP8 (val)</a>,🤔,-@@100,24699207680.0,248044.0,8192.0,✓,✗,(✓),✓,1.27@@1.27,-@@100,-@@100
"<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507 (zero-shot, val)</a>",🤔,-@@100,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507 (zero-shot, val)</a>",📝,-@@100,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507 (val)</a>,📝,-@@100,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507 (zero-shot)</a>,📝,-@@100,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct (val)</a>,📝,-@@100,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct (zero-shot, val)</a>",📝,-@@100,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,-@@100,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (zero-shot)</a>,📝,-@@100,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (val)</a>,📝,-@@100,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct (zero-shot, val)</a>",📝,-@@100,72706203648.0,152064.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B</a>,📝,-@@100,1543714304.0,151936.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B</a>,📝,-@@100,7615616512.0,152064.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking (zero-shot)</a>,📝,-@@100,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking (val)</a>,📝,-@@100,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking (zero-shot, val)</a>",📝,-@@100,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B</a>,🤔,-@@100,751632384.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,3.34@@3.34,-@@100
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking (zero-shot)</a>,📝,-@@100,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking (val)</a>,📝,-@@100,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking (zero-shot, val)</a>",📝,-@@100,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B</a>,🤔,-@@100,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,2.74@@2.74,-@@100
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking (zero-shot)</a>,📝,-@@100,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking (val)</a>,📝,-@@100,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking (zero-shot, val)</a>",📝,-@@100,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,-@@100,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,1.74@@1.74,-@@100
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,-@@100,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,1.53@@1.53,1.70@@1.70,-@@100
<a href='https://hf.co/Qwen/Qwen3-235B-A22B'>Qwen/Qwen3-235B-A22B</a>,🤔,-@@100,235093634560.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,1.72@@1.72,-@@100
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,-@@100,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,-@@100,1.82@@1.82,-@@100
<a href='https://hf.co/Qwen/Qwen1.5-4B'>Qwen/Qwen1.5-4B</a>,📝,-@@100,3950369280.0,151936.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/LumiOpen/Viking-7B'>LumiOpen/Viking-7B</a>,🧠,-@@100,7550013440.0,131072.0,4096.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B</a>,🧠,-@@100,33119034368.0,131072.0,4096.0,✓,✗,✗,✓,-@@100,2.74@@2.74,-@@100
<a href='https://hf.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B1000B</a>,🧠,-@@100,33119034368.0,131072.0,4096.0,✓,✗,✗,✓,-@@100,2.92@@2.92,-@@100
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (zero-shot)</a>,📝,-@@100,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (zero-shot, val)</a>",📝,-@@100,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/BSC-LT/salamandra-2b-instruct'>BSC-LT/salamandra-2b-instruct</a>,📝,-@@100,2253490176.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b (val)</a>,🧠,-@@100,2253490176.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/BSC-LT/salamandra-2b'>BSC-LT/salamandra-2b</a>,🧠,-@@100,2253490176.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (zero-shot)</a>,📝,-@@100,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (val)</a>,📝,-@@100,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (zero-shot, val)</a>",📝,-@@100,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/CohereForAI/aya-23-35B'>CohereForAI/aya-23-35B</a>,📝,-@@100,34980831232.0,256000.0,8192.0,✗,✗,(✓),✗,-@@100,2.19@@2.19,-@@100
<a href='https://hf.co/CohereForAI/aya-23-8B'>CohereForAI/aya-23-8B</a>,📝,-@@100,8028033024.0,256000.0,8192.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base</a>,📝,-@@100,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b</a>,📝,-@@100,32296476672.0,256000.0,8192.0,✗,✗,(✓),✗,-@@100,2.11@@2.11,-@@100
<a href='https://hf.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024</a>,📝,-@@100,32296476672.0,256000.0,131072.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/CohereForAI/c4ai-command-r-v01'>CohereForAI/c4ai-command-r-v01</a>,📝,-@@100,34980831232.0,256000.0,8192.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global</a>,📝,-@@100,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (zero-shot)</a>,📝,-@@100,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (zero-shot, val)</a>",📝,-@@100,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water</a>,📝,-@@100,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (zero-shot)</a>,📝,-@@100,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (zero-shot, val)</a>",📝,-@@100,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/DDSC/roberta-base-scandinavian'>DDSC/roberta-base-scandinavian</a>,🔍,-@@100,124647939.0,50265.0,514.0,✓,✗,(✓),✗,-@@100,3.27@@3.27,-@@100
<a href='https://hf.co/DGurgurov/xlm-r_dan-latn'>DGurgurov/xlm-r_dan-latn</a>,🔍,-@@100,278295186.0,250002.0,512.0,✓,✗,(✓),✗,-@@100,2.19@@2.19,-@@100
<a href='https://hf.co/CohereForAI/aya-expanse-8b'>CohereForAI/aya-expanse-8b</a>,📝,-@@100,8028033024.0,256000.0,8192.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b'>AI-Sweden-Models/gpt-sw3-6.7b</a>,🧠,-@@100,7111057408.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b-v2'>AI-Sweden-Models/gpt-sw3-6.7b-v2</a>,🧠,-@@100,7111057408.0,64000.0,2048.0,✓,✗,(✓),✗,3.48@@3.48,-@@100,3.20@@3.20
"<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct'>AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (zero-shot, val)</a>",📝,-@@100,7111057408.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/01-ai/Yi-1.5-6B'>01-ai/Yi-1.5-6B</a>,🧠,-@@100,6061035520.0,64000.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B</a>,🧠,-@@100,8829407232.0,64000.0,4096.0,✓,✗,(✓),✗,-@@100,2.50@@2.50,-@@100
<a href='https://hf.co/01-ai/Yi-6B'>01-ai/Yi-6B</a>,🧠,-@@100,6061035520.0,64000.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf</a>,📝,-@@100,68976648192.0,32000.0,32764.0,✓,✗,(✓),✗,-@@100,2.38@@2.38,-@@100
<a href='https://hf.co/AI-Sweden-Models/Llama-3-8B-instruct'>AI-Sweden-Models/Llama-3-8B-instruct</a>,📝,-@@100,8030261248.0,128256.0,8192.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/Llama-3-8B'>AI-Sweden-Models/Llama-3-8B</a>,🧠,-@@100,8030261248.0,128256.0,8192.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/bert-large-nordic-pile-1M-steps'>AI-Sweden-Models/bert-large-nordic-pile-1M-steps</a>,🔍,-@@100,369426435.0,64000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-1.3b-instruct'>AI-Sweden-Models/gpt-sw3-1.3b-instruct</a>,📝,-@@100,1444532224.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-1.3b-instruct'>AI-Sweden-Models/gpt-sw3-1.3b-instruct (zero-shot)</a>,📝,-@@100,1444532224.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-1.3b-instruct'>AI-Sweden-Models/gpt-sw3-1.3b-instruct (val)</a>,📝,-@@100,1444532224.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
"<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-1.3b-instruct'>AI-Sweden-Models/gpt-sw3-1.3b-instruct (zero-shot, val)</a>",📝,-@@100,1444532224.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-1.3b'>AI-Sweden-Models/gpt-sw3-1.3b</a>,🧠,-@@100,1444532224.0,64000.0,2048.0,✓,✗,(✓),✗,3.77@@3.77,-@@100,3.78@@3.78
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct (zero-shot)</a>,📝,-@@100,186112512.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct (val)</a>,📝,-@@100,186112512.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
"<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct (zero-shot, val)</a>",📝,-@@100,186112512.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-20b'>AI-Sweden-Models/gpt-sw3-20b</a>,🧠,-@@100,20918423552.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct (zero-shot)</a>,📝,-@@100,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct (val)</a>,📝,-@@100,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
"<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct (zero-shot, val)</a>",📝,-@@100,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-40b'>AI-Sweden-Models/gpt-sw3-40b</a>,🧠,-@@100,39926513664.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct'>AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct</a>,📝,-@@100,7111057408.0,64000.0,2048.0,✓,✗,(✓),✗,3.80@@3.80,-@@100,3.18@@3.18
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct'>AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (zero-shot)</a>,📝,-@@100,7111057408.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct'>AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (val)</a>,📝,-@@100,7111057408.0,64000.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b</a>,🧠,-@@100,68977172480.0,32032.0,8192.0,✗,✗,(✓),✗,-@@100,3.32@@3.32,-@@100
<a href='https://hf.co/EuroBERT/EuroBERT-2.1B'>EuroBERT/EuroBERT-2.1B</a>,🔍,-@@100,2403092736.0,128256.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-@@100,561192082.0,250002.0,512.0,✓,✗,(✓),✓,2.21@@2.21,-@@100,1.79@@1.79
<a href='https://hf.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-@@100,108867577.0,84985.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (zero-shot)</a>,📝,-@@100,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
"<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (zero-shot, val)</a>",📝,-@@100,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B (zero-shot)</a>,📝,-@@100,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B (val)</a>,📝,-@@100,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B (zero-shot, val)</a>",📝,-@@100,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B (zero-shot)</a>,📝,-@@100,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B (val)</a>,📝,-@@100,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B (zero-shot, val)</a>",📝,-@@100,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M (zero-shot)</a>,📝,-@@100,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M (val)</a>,📝,-@@100,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M (zero-shot, val)</a>",📝,-@@100,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
