<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16 (val)</a>,🧠,2.01@@2.01,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,2.01@@2.01,2.14@@2.14,1.88@@1.88
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2</a>,🤔,2.03@@2.03,8888227328.0,131072.0,131072.0,✓,✗,✗,✓,1.91@@1.91,2.30@@2.30,1.88@@1.88
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,2.03@@2.03,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,2.01@@2.01,2.08@@2.08,2.01@@2.01
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.03@@2.03,3849090048.0,131072.0,8192.0,✓,✗,(✓),✓,2.07@@2.07,2.13@@2.13,1.89@@1.89
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.05@@2.05,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,1.90@@1.90,2.38@@2.38,1.86@@1.86
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.06@@2.06,32003216384.0,102400.0,131072.0,✗,✗,(✓),✗,1.94@@1.94,2.25@@2.25,2.00@@2.00
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.06@@2.06,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,1.84@@1.84,2.52@@2.52,1.81@@1.81
<a href='https://hf.co/google/gemma-4-31B'>google/gemma-4-31B (val)</a>,🧠,2.06@@2.06,31273088876.0,262144.0,8192.0,✓,✗,(✓),✓,2.11@@2.11,2.16@@2.16,1.93@@1.93
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,2.08@@2.08,307532547.0,256000.0,8192.0,✓,✗,(✓),✓,2.29@@2.29,1.95@@1.95,2.00@@2.00
<a href='https://hf.co/google/gemma-4-E2B-it'>google/gemma-4-E2B-it (val)</a>,📝,2.10@@2.10,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,2.08@@2.08,2.24@@2.24,1.97@@1.97
